Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
03/09/2022,Sex_unknown,2261009,0.9,0.9,1530530,,,0.7,0.7,11.7,0.2,0.7,0.2,176819,1667
03/09/2022,Race_eth_NHAIAN,1730818,0.9,0.7,1433605,71.1,58.9,0.9,0.7,43.1,0.7,0.8,0.9,585960,9080
03/09/2022,Age_known,254273423,99.9,99.9,216349889,,,99.9,99.9,45.7,99.9,99.9,99.9,95481156,1070334
03/09/2022,Ages_25-39_yrs,54008175,21.2,21.2,45128028,79,66,20.9,20.9,34.2,16.1,21.6,23.9,15416863,255293
03/09/2022,Ages_<5yrs,48691,0,0,19446,0.2,0.1,0,0,0,0,0,0,0,0
03/09/2022,Race_eth_known,189045596,99.9,74.3,167987241,,,99.9,77.6,52.8,99.9,99.9,99.9,85284697,958020
03/09/2022,Race_eth_NHBlack,19384697,10.3,7.6,16881381,47,41,10,7.8,42.6,8.1,10.1,13.4,6948729,127940
03/09/2022,Sex_Female,131544736,52.2,51.7,112597058,78,66.8,52.4,52,47.9,54.7,52.5,56.5,52177557,603357
03/09/2022,Ages_18-24_yrs,23503785,9.2,9.2,19065602,76.8,62.3,8.8,8.8,29.4,5.9,9.1,11.5,5607501,123514
03/09/2022,Ages_<12yrs,9684230,3.8,3.8,7639283,20,15.8,3.5,3.5,0,0,0,0,0,0
03/09/2022,Race_eth_NHMult_Oth,11260988,6,4.4,10015919,95,95,6,4.6,53.9,6,5.9,6.4,5125623,61468
03/09/2022,Ages_50-64_yrs,58721850,23.1,23.1,51097474,92.2,80.3,23.6,23.6,51.2,27.4,24.5,23,26142464,245689
03/09/2022,Ages_5-11_yrs,9629875,3.8,3.8,7618393,33.5,26.5,3.5,3.5,0,0,0,0,0,0
03/09/2022,Race_eth_NHAsian,12617854,6.7,5,11411055,66.4,60.1,6.8,5.3,66.5,8.3,6.6,9.4,7105197,89861
03/09/2022,Age_unknown,25749,0,0,5955,,,0,0,0,0,0,0,0,0
03/09/2022,Ages_65-74_yrs,33484243,13.2,13.2,29088753,95,91.2,13.4,13.4,65.1,19.8,13.9,8.6,18939871,91895
03/09/2022,Race_eth_NHNHOPI,602628,0.3,0.2,542653,64.9,58.4,0.3,0.3,43.4,0.3,0.3,0.7,223385,6990
03/09/2022,Sex_known,252038163,99.9,99.1,214825314,,,99.9,99.3,46,99.9,99.9,99.9,95304337,1068667
03/09/2022,Ages_40-49_yrs,35001008,13.8,13.8,30092308,85.8,73.8,13.9,13.9,42,13.3,14.4,15.3,12651898,163895
03/09/2022,Race_eth_unknown,65253528,34.5,25.7,48368501,,,28.8,22.4,21.6,12,29.2,11.7,10196459,112314
